time,x,u
7.57,0.1218238292,0.1195199192
7.58,0.1218009049,0.1195199192
7.59,0.1217782087,0.1195199192
7.6,0.1217557383,0.1195199192
7.61,0.1217329395,0.1194644347
7.62,0.1217103675,0.1194644347
7.63,0.1216880201,0.1194644347
7.64,0.1216658951,0.1194644347
7.65,0.1216439902,0.1194644347
7.66,0.1216223032,0.1194644347
7.67,0.1216008321,0.1194644347
7.68,0.1215795746,0.1194644347
7.69,0.1215585286,0.1194644347
7.7,0.121537692,0.1194644347
7.71,0.1215165508,0.1194129884
7.72,0.12149562,0.1194129884
7.73,0.1214748975,0.1194129884
7.74,0.1214543812,0.1194129884
7.75,0.121434069,0.1194129884
7.76,0.1214139589,0.1194129884
7.77,0.1213940489,0.1194129884
7.78,0.121374337,0.1194129884
